likes,body,time
23,"Первые случаи заражения коронавирусом зафиксированы в Европе, власти Франции сообщили о двух заболевших - в Бордо и Париже.",1579955576
46,"Литературный критик Галина Юзефович рассказывает о книге Патрисии Данкер «Джеймс Миранда Барри». В основе сюжета — реальная история английского врача, который был женщиной и всю жизнь скрывал свой пол.",1579953176
77,"Клим Шипенко, получая ""Золотого орла"" за фильм ""Текст"", попросил нового министра культуры Ольгу Любимову не штрафовать Сергея Дворцевого, попавшего с фильмом «Айка» в список должников. «Режиссер не виноват», - сказал Шипенко.",1579950776
48,"На востоке Турции вечером 24 января произошло землетрясение магнитудой 6,8. Эпицентр землетрясения находился в провинции Элязыг. По последним данным, погиб 21 человек, более 1000 пострадали. Спасатели продолжают разбор завалов в поисках погибших и выживших.",1579948376
130,"Наш подкаст про финансовую грамотность «Калькулятор» вернулся с каникул! Первый выпуск — для ленивых инвесторов (а точнее для тех, кто вроде и не против начать инвестировать, но им как-то лень). Для таких есть готовые стратегии в формате «бери и делай».",1579945976
150,"Суд назначил Бочкаревой судебный штраф в 30 тысяч рублей и прекратил уголовное дело. Вероятно, такое решение было принято, потому что актриса сделала пожертвование в благотворительный фонд. Разбираем, насколько это распространенная практика, и рассказываем, что делать, если обвиняют в хранении наркотиков.",1579943576
110,Можно ли принимать БАДы? Или достаточно есть побольше морепродуктов? Отвечаем на вопросы об омеге-3.,1579941176
39,На этих выходных предстоит сделать сложный выбор: «Барашек Шон» или «Олдбой»? О лучших фильмах недели читайте в нашей подборке.,1579938776
94,"Директор Центра политической конъюнктуры Алексей Чеснаков, близкий к Суркову, заявил, что помощник президента покинул пост из-за ""смены курса на украинском направлении"".",1579932932
488,В китайском городе Ухань экстренно строят временную больницу на тысячу койко-мест. Уже 3 февраля ее планируют сдать в эксплуатацию. Вот как это выглядит:,1579911711
211,"Число жителей России в 2019 году уменьшилось на 35,6 тысячи человек. 

На 1 января 2020 года в России, согласно Росстату, жили 146 миллионов 745,1 тысячи человек, а годом ранее — 146 миллионов 780,7 тысячи.",1579909911
65,"Алексей Бурков согласился с тем, что занимался мошенничеством, кражей личных данных и отмыванием денег",1579908111
104,...,1579906311
71,"Имущество торгового дома «Интерторг», владеющего сетью супермаркетов Spar в Санкт-Петербурге и ряде регионов на северо-западе России, арестовали в качестве обеспечительной меры по иску Сбербанка ",1579904511
61,"«Facebook будет работать над тем, чтобы Трамп переизбрался, а Трамп защитит Facebook», — считает Сорос. Каких-либо аргументов в пользу этой теории милилардер не приводит",1579902711
161,🤷‍♂️,1579900911
35,"Александра Винника обвиняют в мошенничестве в сфере компьютерной информации. 

По словам его греческого адвоката Зои Константопулу, Винника экстрадирован из Греции во Францию. 

Константопулу называет произошедшее похищением, а не экстрадицией",1579899111
84,"По словам пресс-секретаря президента Дмитрия Пескова, в Кремле не в курсе ситуации.",1579897311
154,🎩🎖️,1579895511
255,Глава Чувашии заставил пожарного подпрыгивать за ключами от новой служебной машины. Теперь подпрыгивают все,1579893711
