likes,body,time
13,"Добро пожаловать в новую группу 
[club174587735|FOX МУЛЬТ]

Полные серии, прикольные нарезки, прямые эфиры и конечно угарные мемы из наших любимых мультфильмов, Симпсонов, Гриффинов, Рика и Морти и многих других! По Мему стабильно в час! Конкурсы каждую неделю!",1576267609
346,Как вам моя работа?),1576267539
16,"Хочешь зарабатывать на инсте? 
Заходи ➡➡ https://vk.cc/a1jsJe
Заходи ➡➡ https://vk.cc/a1jsJe",1573679808
335,,1570685786
1828,"Любое ваше действие, гораздо лучше бездействия.",1560751204
4545,"Чтобы выжить в нашем времени нужно убить в себе человека, и выпустить наружу психа, живущего в тебе.",1551676385
2999,"Порядок необходим глупцам, гений же властвует над хаосом.",1551676372
1595,Меня ещё не забыли? Ха-Ха-Ха...,1542969981
1394,"Леди Джокер

 Художница Tiya Li",1542795900
2459,"Кто лучший?

Но помни, я буду мстить.",1542781500
1334,"У меня нет желания быть жестоким, но у меня есть желание воткнуть нож в...",1542763473
2967,"Имей больше, чем показываешь, говори меньше, чем знаешь.",1531594801
2851,"Будьте внимательны к своим мыслям, они — начало поступков.",1531587602
2082,Большинство битв вы проигрываете в собственной голове.,1531576802
1554,Жизнь вынуждает нас делать многие вещи добровольно.,1531562403
2228,"Человек должен быть писателем своей судьбы, а не читателем чужой.",1531551603
2073,"Я не псих, я просто вижу людей насквозь и понимаю их сущность.",1531544403
2528,Хочешь быть счастливым - не ройся в памяти.,1531533600
1332,"Любое ваше действие, гораздо лучше бездействия.",1531519200
1457,"Никто не паникует, когда все идет согласно плану. Даже если план чудовищен.",1531508403
1996,"Я не стараюсь никого удивить, я лишь делаю то, что мне нравится.",1531501204
2747,"Улыбка – идеальная иллюзия. 
Никто и никогда не узнает, что под ней скрывается.",1531490405
770,"Судите дело, а личность откиньте, что вам до нее",1531476007
1816,"Каждому человеку, которому ты даришь доверие, ты даешь в руки нож. Им он может тебя защитить или уничтожить.",1531465207
1378,"Чем больше узнаю людей, тем больше люблю себя.",1531458007
936,"Все эти проблемы, которые тебя волнуют - следствия дебильных сказок, которые ты сам себе напридумывал и никак не можешь разбить эти убеждения.",1531447202
854,"Твое лицо, когда к тебе обращаются с просьбой ""скажи мне, только честно...""",1531432801
857,"Все любят делать то, что умеют...",1531162803
1378,Одна из самых главных проблем 21 века — никто не умеет признавать свою вину.,1531155604
1481,"Если вас не любят люди - это не значит, что вы плохой. Просто вы не так ""удобны""для них.",1531144805
1472,"Особый талант - говорить спокойно, когда хочется кричать.",1531130406
1327,"Возможно, ты и начнешь жизнь с чистого листа, только вот почерк у тебя будет прежний...",1531119608
814,"Не страшно, что вы зашли в тупик, страшно, что вы не пытаетесь выбраться.",1531112406
895,"Почему, когда я предлагаю кого-нибудь убить, все воспринимают это как шутку?",1531101601
661,"— Я знал как начнётся этот день. 
— А как закончится, знаешь?",1531087201
1164,"Предательство нельзя прощать, а иначе люди будут предавать тебя постоянно.",1530813605
936,"Я никогда не напомню вам о том, что вы сделали со мной. Но я никогда и не забуду этого.",1530802807
1359,Одиночество сделает тебя сильнее. Слезы сделают тебя храбрее. Разочарование сделает тебя мудрее.,1530792008
903,"Не возвращайтесь к людям, которые вас предали, они того не стоят.",1530781210
1199,"Мне плевать на ваше мнение обо мне, я таков, каков я есть!",1530759604
1069,"Никогда не лги тому, кто тебе доверяет.",1530640805
